College_ID,First Name,Last Name,Email,Designation,Department,Office,hashedpassword
F666,Lauren,Schimmel,laurenschimmel@lnmiit.ac.in,Visiting Faculty,Communication and Computer(CCE),1528,$2b$10$zw5Ku/z6RSQn3n3qKp7xHeclyFuTwumVFhQiVzffFkMWIHqsEs0Z6
F238,Shanny,Schowalter,shannyschowalter@lnmiit.ac.in,Visiting Faculty,Electronics and Communication(ECE),813,$2b$10$YJ9PRqRPcXGy3wFqnB0blujeIBWoj1U/TRnpSrp6irIcaeGxvJ2Am
F636,Peter,Satterfield,petersatterfield@lnmiit.ac.in,Visiting Faculty,Mathematics,716,$2b$10$oDpt8F4f6QJmCboG3ORrS.OFwVH0QdvTTrWrUbR97Krsd.f4X41Jy
F1636,Guiseppe,Bosco,guiseppebosco@lnmiit.ac.in,Visiting Faculty,Electronics and Communication(ECE),545,$2b$10$6Mo7xYNhm0VBjY989EKYBeBNV4cTXFgUW.ivFoe9x.a1qnSVCTp.W
F1150,Cassandre,Padberg,cassandrepadberg@lnmiit.ac.in,Assistant Professor,Mechanical Engineering(ME),571,$2b$10$DeWq4jmuZzQzQMSBip/71O.iSsv3/uOQ/um1bFMCaRAHjAyK5cckS
F1211,Kaley,Kilback,kaleykilback@lnmiit.ac.in,Professor,Mathematics,903,$2b$10$0sAXAOEuE6t7SXXZrU4c3.iFofVGgKBnsRDL9vv4UsA9kuEFcgO5e
F1862,Peter,Mayer,petermayer@lnmiit.ac.in,Visiting Faculty,Humanities,1534,$2b$10$wZ4UpDzn9KKdaNMcWxfpL.m1/L5OTp6nM5N450ctY5DtIS1SnX6pu
F359,Salvatore,Kohler-Heller,salvatorekohler-heller@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),1595,$2b$10$Ny7ROcCpUhIv.Llv.sFLCuUqg..RUJmROS08.E5B2c3mViqvj9INi
F1657,Orville,Haag-Langosh,orvillehaag-langosh@lnmiit.ac.in,Visiting Faculty,Mathematics,1987,$2b$10$8Jsp1/DZBq9.IR/.xMNhC.nVW9bKZOoMBcecmYePjB9J5T.yL3w.e
F1759,Tyra,Schulist-Orn,tyraschulist-orn@lnmiit.ac.in,Associate Professor,Mechanical Engineering(ME),711,$2b$10$Tn/iLuiZAYko1qIBWDuhOObvchTnKCTOVWQq4tp92O6ngPIacmL4y
F1143,Arely,Kuhic,arelykuhic@lnmiit.ac.in,Visiting Faculty,Electronics and Communication(ECE),569,$2b$10$bouQw1Dk8rLzeaZJkVcqGurAUK17j0Kjy6rB1T8KwnuMuMXfdNkFe
F833,Monty,Rau,montyrau@lnmiit.ac.in,Assistant Professor,Mechanical Engineering(ME),110,$2b$10$0Fip5ZNxY3LMMnt01SVWzOqj8LGsG4QGRzVslBwAzWlDBvNkrFt9a
F652,Hailie,Kiehn,hailiekiehn@lnmiit.ac.in,Professor,Electronics and Communication(ECE),274,$2b$10$3Eq8c0JUnQiaZN2Kp9UwYOgGdmNpPc.4QqX8jI6nSWEEbwAyTXaLW
F1890,Kiana,Lakin,kianalakin@lnmiit.ac.in,Professor,Communication and Computer(CCE),1390,$2b$10$Q1Am74vSjlCR9FPqnn0SiOy6F8vhu6ECzU5hAGvjCguNsXyqXYvTW
F577,Tobin,Roberts,tobinroberts@lnmiit.ac.in,Professor,Communication and Computer(CCE),829,$2b$10$7psth9rXAkpyChM/AvkSiOh2tyUaaNpnbsu3XQrBVHYd7aNjdUHt2
F881,Annalise,Connelly,annaliseconnelly@lnmiit.ac.in,Associate Professor,Communication and Computer(CCE),1815,$2b$10$GhZuSYWcugcIgbkIZYbDZOc3lpmUAIXtrk7DIuf3IOVxk/NYa3uYS
F1738,Lilyan,Zboncak,lilyanzboncak@lnmiit.ac.in,Visiting Faculty,Electronics and Communication(ECE),418,$2b$10$ScobYgbfhiWv9VUP.b6sKO6Bwzb2QkDIMwMlgsNjdhVdbg4B68u8y
F895,Erin,Fisher,erinfisher@lnmiit.ac.in,Associate Professor,Mathematics,344,$2b$10$ri1h00gu5DiUl0yHhETK2.IHcNYhNCdHHcB8lvugJnrAHxBsUl73G
F188,Gonzalo,O'Connell,gonzaloo'connell@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),263,$2b$10$x7UuCqQp0PGSmskZFwsCpOE51NEhorrHx4MEfxmzmaUtEHRhbzR7S
F257,Fermin,Bergnaum,ferminbergnaum@lnmiit.ac.in,Assistant Professor,Mathematics,636,$2b$10$kxAL8Y.XZG3J9qCmigbZMOC7dL3krQ5Gmwb9Lrdy8CQw48B/F/xCm
F844,Alex,Leffler,alexleffler@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),1981,$2b$10$Tw2fJF2YplPC18kl9vi1NeTcTj1iIQU4Od1b7mTsO4j3zRZVs6hEe
F489,Edgardo,Roob-Powlowski,edgardoroob-powlowski@lnmiit.ac.in,Visiting Faculty,Electronics and Communication(ECE),422,$2b$10$mKRD1jgV47f9/TgtIybZUuXKR05qroTv2..pcnjONMp4EqSlFfJS2
F1073,Myrna,Schoen,myrnaschoen@lnmiit.ac.in,Associate Professor,Humanities,588,$2b$10$.8NRzzq/Hdoiq8s1ZYO1IeXcWyHKPne9tTqAsMQAEgHCvzfyDKCq6
F1222,Kelvin,Padberg,kelvinpadberg@lnmiit.ac.in,Associate Professor,Computer Science(CSE),1015,$2b$10$V0BK3feFih1oTSW3dP9P..vd2guLvzeCXTvVieFkjk5/OUNHCOL6K
F394,Makayla,Lemke,makaylalemke@lnmiit.ac.in,Associate Professor,Computer Science(CSE),623,$2b$10$XSyM1ZDqA4JMnpTbAdFHEu7oOAS2FzN3KRFJ4n0aE0c7Qhj.uxfvq
F1661,Sylvia,Harris,sylviaharris@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),370,$2b$10$eAtOkNV16xG/aC10LUZWf.6xg.T4fMeE.J3BfunjYNmmC5KYxVutW
F1974,Dane,Schoen,daneschoen@lnmiit.ac.in,Professor,Electronics and Communication(ECE),612,$2b$10$bpe3U3jbHloFOA462H5ge.kh2i1muOxbKoRxK.Rj2Tt65uoXLn2FG
F132,Julius,Buckridge,juliusbuckridge@lnmiit.ac.in,Visiting Faculty,Humanities,258,$2b$10$YqhrsdQ7bNW5frRG0WE61.7DTZQU2.rHTXNtrcYtTsFK7lzLrMY0G
F1984,Daren,Heaney,darenheaney@lnmiit.ac.in,Associate Professor,Humanities,1077,$2b$10$bKsQwsdm.YMvKuQMuw7GheqQnBu6jamZIJw44UcodGvm9PdQyEscy
F1668,Rebeka,Stracke,rebekastracke@lnmiit.ac.in,Visiting Faculty,IT,340,$2b$10$DaWd9U0VxGw4FpeW7axqpOKpHxufSvduzSCDT8oAhMqRyvzmCLlea
F1432,Mathew,Hirthe,mathewhirthe@lnmiit.ac.in,Visiting Faculty,Mechanical Engineering(ME),343,$2b$10$CjPtaZVw3uAlx9fKDSCu2O7ISs65Tr6xV1yxow803HDIVgunua5im
F1688,Lindsey,Murphy,lindseymurphy@lnmiit.ac.in,Visiting Faculty,Mathematics,882,$2b$10$zLmUm1WNZcqXHV2lOE16DuwIAYm7TH7V60nWw06hF0k/bIjuW2YZm
F1324,Tom,Hills,tomhills@lnmiit.ac.in,Associate Professor,Communication and Computer(CCE),1288,$2b$10$LzGR6ZjQMiRwIX7ofGZBaeM3QLkGHpAFan69/0GH7nqv8tljgpK/m
F799,Yolanda,Moore,yolandamoore@lnmiit.ac.in,Visiting Faculty,Mathematics,498,$2b$10$9oyI9HdcqSZv8Fu1aQoPAePUhdvZSM47cnZQoimOElTHJddYPUex6
F137,Rosina,Willms,rosinawillms@lnmiit.ac.in,Assistant Professor,Mechanical Engineering(ME),204,$2b$10$c9xr2GJtO1xzGleeHbIB4.3i.Mf.dJ363TBCMEHFT0QugGiM/Gls2
F1881,Oran,Ferry,oranferry@lnmiit.ac.in,Assistant Professor,IT,1709,$2b$10$6bZ18/l2lhTKGiREjf/EM.zU/k.bdxJrAgDtKmOj6lpm5grbTW20i
F1465,Mireille,Bayer,mireillebayer@lnmiit.ac.in,Assistant Professor,IT,451,$2b$10$BB.6as8LbuQPMoUvDTRpieWgX5veUpLr8HmLCEqr4uam1xZ8FL8CK
F888,Milton,Hayes,miltonhayes@lnmiit.ac.in,Professor,Computer Science(CSE),1924,$2b$10$0M3GB9XIoqazjhqJEkn4m.tcESYdViJ1E79.kDcqQdQkqSD8/x7LC
F1987,Liam,Rutherford,liamrutherford@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),1516,$2b$10$weZA/W4Ag1mC5hvcRFDmjeIJkvGqRzbR2OzJ3aU5la11FWJGn4iKy
F680,Candice,Berge,candiceberge@lnmiit.ac.in,Associate Professor,Mechanical Engineering(ME),1655,$2b$10$WQ5M.KjEAkIDfP8eWcw0d.Qsy/F3SHvLxO.t5iaSFnUJOnxSvgP/S
F1795,Ken,Stanton,kenstanton@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),1416,$2b$10$9IBgzgmWPUouP1aiYyamHuSa4AJYxlLn6lGA4rcJr/fCDhQQ83BYy
F1291,Toney,Maggio,toneymaggio@lnmiit.ac.in,Visiting Faculty,Mathematics,1727,$2b$10$23XP9BY9UUEjHAYrfbOK3OvwqjPCNl42j9wiH4ozH2Egf1AQ/SouS
F1736,Barry,Kassulke,barrykassulke@lnmiit.ac.in,Professor,Electronics and Communication(ECE),852,$2b$10$qzh5daHLSk14Q5wJlJJUBOY/lNfi6Aee2FQPjy/qqPKpPAtyQ9Gcy
F555,Katharina,Strosin,katharinastrosin@lnmiit.ac.in,Visiting Faculty,Computer Science(CSE),280,$2b$10$LuJ2jMMc50OL4CpY8p0FZuhC1N2EefIKcrR3lzqIiIGzI27E2i1TO
F1868,Mona,Halvorson,monahalvorson@lnmiit.ac.in,Assistant Professor,Mathematics,1947,$2b$10$zFMLlvSgeEdldDerxd5nSunj8C1IBkzI7Fq9PH2e4a8zvByrkRjlG
F758,Sam,Kris,samkris@lnmiit.ac.in,Professor,IT,1607,$2b$10$E31eOZHTaQPDHTf71M6Dae5OHMgebKKidQrvAWeymRQbHcWPEzp86
F544,Lucio,Stiedemann,luciostiedemann@lnmiit.ac.in,Associate Professor,Communication and Computer(CCE),1298,$2b$10$xyd28ZXNf9xVn7PPGvO.ruWAav.gTI6ixlvspf8/XyWlmUtxDcJki
F1255,Jessika,Murray,jessikamurray@lnmiit.ac.in,Associate Professor,IT,423,$2b$10$jWp3SB1T2m7NjMf1buW/fu0SwCWJ6Mwz2bkTOpiGZ5DUK4gXonaAi
F1058,Hyman,Sawayn,hymansawayn@lnmiit.ac.in,Assistant Professor,Mathematics,1148,$2b$10$UaIaiggtvQv6.L8WfKg3VOc/VqJfHUN3GirAw6r4zgCAdGYfHO1Fe
F1668,Jaleel,Collins,jaleelcollins@lnmiit.ac.in,Visiting Faculty,Electronics and Communication(ECE),1992,$2b$10$qyrADhi.I3eeq3YberEFm.hEV4CecZ.wW5XqXtHuYgFCq8bpS7MQ6
F290,Jackson,Greenholt,jacksongreenholt@lnmiit.ac.in,Visiting Faculty,Communication and Computer(CCE),1929,$2b$10$e/l8OdAiYCaKkH0/nIJ9/.CJUQwGGSd8we6rtxtaWoJhcPayDYrAy
F1984,Tristian,Emmerich,tristianemmerich@lnmiit.ac.in,Associate Professor,Computer Science(CSE),687,$2b$10$AfkEguWR5R8/2KE5mKQ51eAum7XlVou.rPG21Var3Nz3R7Ls9iV3W
F1895,Zachery,Ondricka,zacheryondricka@lnmiit.ac.in,Visiting Faculty,Mathematics,321,$2b$10$RGqHh1R2QIiIEMvZcr0mDuVRlqK94XgyyPwFjtdtdC1D8VARm9D12
F1024,Gonzalo,Rau,gonzalorau@lnmiit.ac.in,Professor,Computer Science(CSE),1491,$2b$10$vZpAplVBFSHdUkZC8ojPae8yFodWeaBLqm4Gd4d8bKxwPpoy8X75C
F31,Sherwood,Treutel,sherwoodtreutel@lnmiit.ac.in,Associate Professor,IT,451,$2b$10$V3HvH.hX9rzAFTSbaHM1muwIV1eoZIBnBVR9PNaszUOH.v5okS/ya
F620,Palma,Legros,palmalegros@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),820,$2b$10$WKZH0e36sLVzxZGlkSn11OY3g2WqxbWT/uORcDdPM2US7Ylfa7yXW
F294,Serenity,Zemlak,serenityzemlak@lnmiit.ac.in,Professor,Mathematics,1767,$2b$10$S//CniR.2SGunrjhXcIYp.vCugr6VxG55Yy5jKYXmSWMZyBu8Ya8y
F744,Owen,Wiegand,owenwiegand@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),634,$2b$10$eBjcJ/Ig9nJ2LJlTjujZxeo0GSxw/m5MqZyzdbzoGfb0ggzLR/Ra6
F436,Darryl,Murray,darrylmurray@lnmiit.ac.in,Associate Professor,Electronics and Communication(ECE),304,$2b$10$2s2AT7H/46xlfEVTEjZO7.cbrAVfkAc66amjeEElm2xI/V8vgFK4e
F1123,Oscar,Kulas,oscarkulas@lnmiit.ac.in,Assistant Professor,Mathematics,749,$2b$10$DYAVKKel9nStE3jc9szoj.WEXwptIdvv84DTSomjXYcKAC8w6AsPa
F649,Lila,Jenkins,lilajenkins@lnmiit.ac.in,Assistant Professor,Mathematics,237,$2b$10$WD95dPeqW3w8BO/W6F1HuutZGlaIGV0nGtDcoaJMDL3otg1J997lm
F304,Andrew,Simonis-Larson,andrewsimonis-larson@lnmiit.ac.in,Professor,Computer Science(CSE),1503,$2b$10$GPX9L/CrEbckzsEOrn1.muyfZaM8f6ddkT4kNvqfilQbPastz/JlW
F1984,Lia,Smitham,liasmitham@lnmiit.ac.in,Associate Professor,Mechanical Engineering(ME),364,$2b$10$X1AzChejKp04zI4mR1wv.uArDpR/3tuaPo2BDpXevOiFjvruH9N1q
F790,Moriah,Homenick,moriahhomenick@lnmiit.ac.in,Professor,IT,742,$2b$10$.onuI0c6QlBlG6zWXm2MC.9JurtQWtD6flvrSNGvhRnypIHNUpvs6
F787,Ezra,Ratke,ezraratke@lnmiit.ac.in,Associate Professor,Mathematics,628,$2b$10$qpbbEQ5Zs6hWcphN8lb8ouhJxD/H2A7.by1qfgRyDc6hPjUyusaxa
F986,Annabell,Hirthe,annabellhirthe@lnmiit.ac.in,Assistant Professor,Communication and Computer(CCE),1501,$2b$10$HTDGhgZX0pwMGmI2yHfuHujtQ03x266TJqNyLIzjiOmlh7yIpJhnS
F506,Micheal,Sauer,michealsauer@lnmiit.ac.in,Professor,Humanities,1266,$2b$10$fgGSoGZxthJAs9Oz8.3uD..ICKXE7BIPC3JPV4hKTBhI4uCnmqnP.
F1781,Ruby,Emard,rubyemard@lnmiit.ac.in,Assistant Professor,Computer Science(CSE),1094,$2b$10$1eejy1yJznCSq6L11yTHMupV32o1outpQMj0CM7tpJz7.p0Fq5vrm
F1918,Omari,Kuphal,omarikuphal@lnmiit.ac.in,Visiting Faculty,Mechanical Engineering(ME),1851,$2b$10$gZhug0NlWHUiDKfLEfuYg.wcppOmz4DuZzr5yAyo4BwhrHuzoHS2y
F792,Ezequiel,Mann,ezequielmann@lnmiit.ac.in,Professor,Electronics and Communication(ECE),1674,$2b$10$3gnbALBEE8OLiSL0qcJdQu.B9c0DmNJ4xoVaPIsOHObFuMGa6t21y
F259,Eldridge,D'Amore,eldridged'amore@lnmiit.ac.in,Visiting Faculty,Communication and Computer(CCE),871,$2b$10$UAuEtMS2ydOauKreUKXbXuk8BOAnL5iINrANS8m8GQM.4AMSyEVa6
F1404,Zoe,O'Reilly,zoeo'reilly@lnmiit.ac.in,Associate Professor,Computer Science(CSE),904,$2b$10$SYUOiCdZKLuDFMEcrAmRHe1dTN3zWeSKLWLg36/8Nwv/V5tv2C4vm
